country,count
DE,11264
ES,11232
IT,9723
FR,9379
NL,6319
BE,5576
EL,4411
UK,4310
AT,2902
SE,2832
PT,2781
DK,2495
FI,2444
CH,2356
NO,2309
IE,1893
PL,1787
CZ,1393
SI,1097
RO,1079
US,1040
TR,917
IL,877
CY,870
HU,793
EE,650
BG,610
HR,543
LT,525
RS,466
LU,460
SK,430
LV,340
UA,315
CA,227
CN,209
ZA,200
AU,194
MT,186
IS,146
JP,136
KE,133
BR,122
AR,108
UG,76
KR,74
MK,71
TN,69
MD,66
GH,66
IN,62
MA,62
TZ,60
CO,59
CL,58
BA,53
ET,50
GE,48
NG,47
TH,46
AL,46
NZ,42
SN,40
EG,39
MX,37
CD,35
ME,31
MZ,29
RW,26
LB,24
BF,24
SG,23
TW,22
ZM,22
UZ,21
AM,21
PE,19
CI,19
CM,19
MY,18
VN,18
FO,17
XK,16
CV,15
KZ,14
CU,14
CR,13
GL,12
PK,12
MG,12
EC,11
PH,11
ID,10
AZ,10
HK,10
BJ,10
GA,10
UY,9
KG,9
JO,9
BD,9
SA,8
DZ,8
MW,8
GN,7
AO,7
ML,7
ST,6
LK,6
MU,6
BI,6
BO,6
BW,6
LR,5
AE,5
ZW,5
CG,5
KH,5
LI,4
MC,4
MN,4
PS,4
IR,4
TJ,3
PF,3
GW,3
GM,3
SZ,3
PA,2
PG,2
TM,2
BQ,2
MR,2
SL,2
MH,2
IQ,2
NP,2
AW,2
TG,2
PY,2
CF,2
GT,2
QA,1
VA,1
GU,1
NI,1
FJ,1
GI,1
VE,1
KW,1
DO,1
MO,1
NC,1
LS,1
LY,1
MV,1
SV,1
TD,1
LA,1
AF,1
HT,1
IM,1
AD,1
AI,1
NE,1
SR,1
BT,1
GQ,1
DJ,1
SD,1
